Density(P/Km2);Birth Rate;Co2-Emissions;CPI;CPI Change (%);Fertility Rate;GDP;Infant mortality;Life expectancy;Maternal mortality ratio;Out of pocket health expenditure;Physicians per thousand;Population;Population: Labor force participation (%);Unemployment rate;
273;12,94;43,868;141,75;1,00%;1,73;24100202834;16,4;73,4;67;37,30%;4,17;1394973;60,00%;2,69%;
76;17,56;29,937;155,33;6,70%;2,2;38797709924;14,6;76,5;43;39,80%;1,3;11694719;46,10%;16,02%;
110;16,03;372,725;234,44;15,20%;2,07;7,54412E+11;9,1;77,4;17;16,90%;1,85;83429615;52,80%;13,49%;
13;23,83;70,63;125,34;2,30%;2,79;40761142857;39,3;68,1;7;71,10%;2,22;5942089;64,50%;3,91%;
393;20,21;11;125,34;2,30%;2,69;47271463;20,6;72,3;53;0,70%;0,92;11646;62,70%;7,91%;
229;38,14;5,68;173,87;2,90%;4,96;34387229486;33,8;63;375;40,50%;0,17;44269594;70,30%;1,84%;
75;8,7;202,25;281,66;7,90%;1,3;1,53781E+11;7,5;71,6;19;47,80%;2,99;44385155;54,20%;8,88%;
118;10,33;206,324;114,52;-1,90%;1,41;4,21142E+11;6,5;77,8;3;17,80%;2,53;9770529;82,10%;2,35%;
281;11;379,025;119,62;1,70%;1,68;2,82711E+12;3,6;81,3;7;14,80%;2,81;66834405;62,80%;3,85%;
36;11,6;5006,302;117,24;7,50%;1,73;2,14277E+13;5,6;78,5;19;11,10%;2,61;328239523;62,00%;14,70%;
20;13,86;6,766;202,92;7,90%;1,97;56045912952;6,4;77,8;17;16,20%;5,05;3461734;64,00%;8,73%;
79;23,3;91,811;125,34;2,30%;2,42;57921286440;19,1;71,6;29;42,70%;2,37;33580650;65,10%;5,92%;
25;29,6;147;117,13;2,80%;3,78;917058851;22,3;70,3;72;8,90%;0,17;299882;69,90%;4,39%;
32;17,88;164,175;2740,27;254,90%;2,27;4,82359E+11;21,4;72,1;125;45,80%;1,92;28515829;59,70%;8,80%;
314;16,75;192,668;163,52;2,80%;2,05;2,61921E+11;16,5;75,3;43;43,50%;0,82;96462106;77,40%;2,01%;
56;30,45;10,609;157,58;8,10%;3,79;26914402224;42,9;66,1;164;81,00%;0,31;29161922;38,00%;12,91%;
25;36,19;5,141;212,31;9,20%;4,63;23064722446;40,4;63,5;213;27,50%;1,19;17861030;74,60%;11,43%;
38;30,68;10,983;105,51;0,90%;3,62;21440758800;33,9;61,2;458;25,80%;0,21;14645468;83,10%;4,95%;
